tag,core,fold,seed,n_test_videos,BSA,BSRE,VA,VRE,binary_auc,binary_acc,val_VA,final_gap
published,fc,0,42,35,0.5211,1.4737,0.5714,1.2603,0.8939,0.8571,0.7308,0.1674
published,fc,0,43,35,0.5269,2.1541,0.6286,1.5894,0.8939,0.8857,0.8077,0.0938
published,fc,1,42,36,0.5209,3.1341,0.4444,2.564,0.8125,0.7222,0.68,0.2108
published,fc,1,43,36,0.5184,3.1189,0.5278,2.6176,0.7222,0.6667,0.68,0.1639
published,fc,2,42,35,0.5183,1.3852,0.5714,0.6453,0.9848,0.8857,0.8889,0.0788
published,fc,2,43,35,0.5147,1.11,0.5429,0.5564,0.9924,0.8571,0.8519,-0.0306
published,fc,3,42,36,0.628,0.4028,0.6667,0.5429,0.9931,0.8333,0.7407,0.0545
published,fc,3,43,36,0.6552,0.5813,0.6944,0.6358,1.0,0.8333,0.7407,0.1224
published,fc,4,42,36,0.5351,1.39,0.5833,0.9334,0.9653,0.8056,0.7778,0.1168
published,fc,4,43,36,0.5603,1.4605,0.6111,0.6736,0.9653,0.75,0.8148,0.1021
published,lstm,0,42,35,0.4808,2.3762,0.5429,1.5475,0.9015,0.8571,0.7692,0.0887
published,lstm,0,43,35,0.5182,2.1371,0.5714,1.5646,0.9242,0.8571,0.8077,0.1412
published,lstm,1,42,36,0.5562,1.6593,0.6111,1.3244,0.8333,0.75,0.68,0.2155
published,lstm,1,43,36,0.5533,2.1502,0.5833,1.5866,0.8472,0.7778,0.72,0.2018
published,lstm,2,42,35,0.4784,1.3127,0.4857,0.6427,0.9848,0.8286,0.8519,0.1036
published,lstm,2,43,35,0.533,1.2347,0.6,0.6189,0.9545,0.8571,0.8519,-0.0774
published,lstm,3,42,36,0.6487,0.5163,0.7222,0.4504,0.9861,0.9167,0.7037,0.1405
published,lstm,3,43,36,0.6753,0.4824,0.7778,0.4741,0.9861,0.9444,0.7778,0.1243
published,lstm,4,42,36,0.5967,0.7724,0.75,0.2847,1.0,0.9444,0.8148,0.1223
published,lstm,4,43,36,0.4771,1.3071,0.5,1.0272,0.9028,0.7222,0.8148,0.0828
published,attn,0,42,35,0.5156,2.3438,0.5714,1.6011,0.9015,0.8857,0.7692,0.1572
published,attn,0,43,35,0.5468,1.869,0.6,1.3658,0.8939,0.8571,0.7692,0.1372
published,attn,1,42,36,0.541,3.3602,0.5833,2.814,0.8125,0.7222,0.68,0.2419
published,attn,1,43,36,0.5529,2.9761,0.5556,2.9342,0.7847,0.7222,0.72,0.2716
published,attn,2,42,35,0.5065,1.5296,0.5429,0.8351,0.9697,0.8571,0.8148,0.1362
published,attn,2,43,35,0.546,1.2589,0.5714,0.7244,0.9924,0.8571,0.8148,-0.0225
published,attn,3,42,36,0.5978,0.59,0.6111,0.676,0.9792,0.8333,0.6296,0.2193
published,attn,3,43,36,0.6538,0.39,0.6111,0.8987,0.9583,0.8056,0.6667,0.1928
published,attn,4,42,36,0.5466,1.1106,0.6111,0.5824,0.9931,0.7778,0.7778,0.2037
published,attn,4,43,36,0.5171,1.9404,0.5278,1.5163,0.8889,0.75,0.7778,0.152
corrected,fc,0,42,35,0.5091,1.3556,0.6,1.1681,0.8788,0.8571,0.7308,0.1183
corrected,fc,0,43,35,0.4975,2.5925,0.6,1.9692,0.8864,0.8571,0.7308,0.1306
corrected,fc,1,42,36,0.4813,1.9902,0.4722,1.681,0.8056,0.6944,0.64,0.1846
corrected,fc,1,43,36,0.5407,3.248,0.6111,2.4755,0.8125,0.7778,0.68,0.1814
corrected,fc,2,42,35,0.5366,0.9562,0.5143,0.5139,0.9924,0.8286,0.8148,0.0823
corrected,fc,2,43,35,0.5431,0.9455,0.5143,0.4849,1.0,0.8,0.8148,-0.0504
corrected,fc,3,42,36,0.5964,0.4687,0.7222,0.3844,0.9792,0.8889,0.7778,0.0957
corrected,fc,3,43,36,0.6237,0.4457,0.6667,0.294,1.0,0.8611,0.7407,0.1684
corrected,fc,4,42,36,0.5423,0.9165,0.6111,0.7218,0.9653,0.8056,0.7407,0.109
corrected,fc,4,43,36,0.5441,1.2089,0.6389,0.5193,1.0,0.8333,0.7407,0.1074
corrected,lstm,0,42,35,0.5116,2.6935,0.6,1.9303,0.9015,0.8571,0.7692,0.1267
corrected,lstm,0,43,35,0.529,1.4807,0.6286,1.1528,0.8939,0.8857,0.7692,0.1226
corrected,lstm,1,42,36,0.487,1.947,0.5556,1.4406,0.8681,0.75,0.64,0.2149
corrected,lstm,1,43,36,0.5227,1.4744,0.5278,1.173,0.8681,0.75,0.68,0.2183
corrected,lstm,2,42,35,0.4921,1.139,0.4857,0.5883,0.9924,0.8286,0.8519,0.0543
corrected,lstm,2,43,35,0.5043,1.0612,0.4857,0.4469,1.0,0.8,0.8519,-0.0797
corrected,lstm,3,42,36,0.6563,0.6454,0.7778,0.5105,0.9722,0.9444,0.7407,0.1858
corrected,lstm,3,43,36,0.6484,0.4478,0.6944,0.2467,1.0,0.8889,0.7037,0.1762
corrected,lstm,4,42,36,0.561,0.935,0.7222,0.3466,1.0,0.8611,0.8148,0.0792
corrected,lstm,4,43,36,0.5373,1.9131,0.5833,1.6377,0.9028,0.8056,0.8148,0.1199
corrected,attn,0,42,35,0.4989,2.3894,0.5429,1.756,0.8939,0.8571,0.7308,0.1615
corrected,attn,0,43,35,0.5221,2.6262,0.6,2.1983,0.9091,0.8571,0.7308,0.1672
corrected,attn,1,42,36,0.4611,4.1698,0.4444,3.2519,0.7639,0.6667,0.68,0.2264
corrected,attn,1,43,36,0.5277,2.5084,0.5,2.7885,0.6944,0.6111,0.64,0.253
corrected,attn,2,42,35,0.4946,1.7723,0.5143,1.2041,0.947,0.8286,0.7778,0.1173
corrected,attn,2,43,35,0.5172,0.944,0.5143,0.5773,0.9773,0.8,0.7407,-0.0804
corrected,attn,3,42,36,0.6097,0.4113,0.6667,0.6048,0.9722,0.8333,0.6667,0.2042
corrected,attn,3,43,36,0.6176,0.3923,0.5833,0.5914,0.9653,0.8056,0.6667,0.2011
corrected,attn,4,42,36,0.5488,1.0256,0.6111,0.5133,0.9931,0.7778,0.6667,0.2422
corrected,attn,4,43,36,0.5441,1.5614,0.6111,1.0751,0.9375,0.7778,0.7778,0.2074
