tag,core,fold,seed,n_test_videos,BSA,BSRE,VA,VRE,binary_auc,binary_acc,val_VA,final_gap,l2_on_recurrent
published,fc,0,42,35,0.5211,1.4737,0.5714,1.2603,0.8939,0.8571,0.7308,0.1674,False
published,fc,0,43,35,0.5269,2.1541,0.6286,1.5894,0.8939,0.8857,0.8077,0.0938,False
published,fc,1,42,36,0.5209,3.1341,0.4444,2.564,0.8125,0.7222,0.68,0.2108,False
published,fc,1,43,36,0.5184,3.1189,0.5278,2.6176,0.7222,0.6667,0.68,0.1639,False
published,fc,2,42,35,0.5183,1.3852,0.5714,0.6453,0.9848,0.8857,0.8889,0.0788,False
published,fc,2,43,35,0.5147,1.11,0.5429,0.5564,0.9924,0.8571,0.8519,-0.0306,False
published,fc,3,42,36,0.628,0.4028,0.6667,0.5429,0.9931,0.8333,0.7407,0.0545,False
published,fc,3,43,36,0.6552,0.5813,0.6944,0.6358,1.0,0.8333,0.7407,0.1224,False
published,fc,4,42,36,0.5351,1.39,0.5833,0.9334,0.9653,0.8056,0.7778,0.1168,False
published,fc,4,43,36,0.5603,1.4605,0.6111,0.6736,0.9653,0.75,0.8148,0.1021,False
published,fc,0,42,35,0.5211,1.4737,0.5714,1.2603,0.8939,0.8571,0.7308,0.1674,True
published,fc,0,43,35,0.5269,2.1541,0.6286,1.5894,0.8939,0.8857,0.8077,0.0938,True
published,fc,1,42,36,0.5209,3.1341,0.4444,2.564,0.8125,0.7222,0.68,0.2108,True
published,fc,1,43,36,0.5184,3.1189,0.5278,2.6176,0.7222,0.6667,0.68,0.1639,True
published,fc,2,42,35,0.5183,1.3852,0.5714,0.6453,0.9848,0.8857,0.8889,0.0788,True
published,fc,2,43,35,0.5147,1.11,0.5429,0.5564,0.9924,0.8571,0.8519,-0.0306,True
published,fc,3,42,36,0.628,0.4028,0.6667,0.5429,0.9931,0.8333,0.7407,0.0545,True
published,fc,3,43,36,0.6552,0.5813,0.6944,0.6358,1.0,0.8333,0.7407,0.1224,True
published,fc,4,42,36,0.5351,1.39,0.5833,0.9334,0.9653,0.8056,0.7778,0.1168,True
published,fc,4,43,36,0.5603,1.4605,0.6111,0.6736,0.9653,0.75,0.8148,0.1021,True
published,lstm,0,42,35,0.4808,2.3762,0.5429,1.5475,0.9015,0.8571,0.7692,0.0887,False
published,lstm,0,43,35,0.5182,2.1371,0.5714,1.5646,0.9242,0.8571,0.8077,0.1412,False
published,lstm,1,42,36,0.5562,1.6593,0.6111,1.3244,0.8333,0.75,0.68,0.2155,False
published,lstm,1,43,36,0.5533,2.1502,0.5833,1.5866,0.8472,0.7778,0.72,0.2018,False
published,lstm,2,42,35,0.4784,1.3127,0.4857,0.6427,0.9848,0.8286,0.8519,0.1036,False
published,lstm,2,43,35,0.533,1.2347,0.6,0.6189,0.9545,0.8571,0.8519,-0.0774,False
published,lstm,3,42,36,0.6487,0.5163,0.7222,0.4504,0.9861,0.9167,0.7037,0.1405,False
published,lstm,3,43,36,0.6753,0.4824,0.7778,0.4741,0.9861,0.9444,0.7778,0.1243,False
published,lstm,4,42,36,0.5967,0.7724,0.75,0.2847,1.0,0.9444,0.8148,0.1223,False
published,lstm,4,43,36,0.4771,1.3071,0.5,1.0272,0.9028,0.7222,0.8148,0.0828,False
published,lstm,0,42,35,0.5258,2.3309,0.6286,1.4383,0.9167,0.8857,0.7692,0.0633,True
published,lstm,0,43,35,0.516,2.4732,0.6,1.6444,0.9167,0.8857,0.8077,0.0975,True
published,lstm,1,42,36,0.5526,1.8949,0.6944,1.3379,0.8819,0.8056,0.68,0.1901,True
published,lstm,1,43,36,0.5594,2.4379,0.5833,2.0178,0.8056,0.7222,0.72,0.1478,True
published,lstm,2,42,35,0.482,1.3642,0.5143,0.715,0.9773,0.8571,0.8519,0.032,True
published,lstm,2,43,35,0.5305,1.0472,0.6,0.5172,0.9848,0.8571,0.8519,-0.0305,True
published,lstm,3,42,36,0.643,0.5162,0.7222,0.4664,0.9861,0.9444,0.7037,0.14,True
published,lstm,3,43,36,0.619,0.6509,0.6389,0.4824,0.9792,0.9167,0.7407,0.1122,True
published,lstm,4,42,36,0.5708,0.7485,0.6667,0.3125,1.0,0.8333,0.7778,0.1222,True
published,lstm,4,43,36,0.516,1.4964,0.5556,1.0883,0.8889,0.7222,0.8519,0.0376,True
