tag,core,fold,seed,n_test_videos,BSA,BSRE,VA,VRE,binary_auc,binary_acc,val_VA,final_gap
stageA_per_video,lstm,0,42,35,0.4783,2.613,0.5429,1.5794,0.8636,0.7714,0.7692,0.1327
stageA_per_video,lstm,0,43,35,0.4882,2.5362,0.5714,1.7917,0.8712,0.8,0.7692,0.0535
stageA_per_video,lstm,1,42,36,0.5162,1.8982,0.4722,1.4922,0.8056,0.7222,0.68,0.1205
stageA_per_video,lstm,1,43,36,0.5721,2.1434,0.6111,1.7032,0.8264,0.7778,0.76,0.1342
stageA_per_video,lstm,2,42,35,0.5249,1.4507,0.6,0.5119,0.9773,0.9143,0.7037,0.236
stageA_per_video,lstm,2,43,35,0.5761,1.4781,0.7143,0.5766,0.9773,0.9429,0.7037,0.135
stageA_per_video,lstm,3,42,36,0.5561,1.2443,0.5,1.3276,0.9444,0.8611,0.7407,0.0257
stageA_per_video,lstm,3,43,36,0.6086,1.0907,0.6389,1.3806,0.9167,0.8889,0.7778,0.1352
stageA_per_video,lstm,4,42,36,0.5098,1.1792,0.5556,0.6001,0.9722,0.8056,0.7037,0.0345
stageA_per_video,lstm,4,43,36,0.4457,1.267,0.5833,0.6817,0.9583,0.8056,0.8148,0.0636
