video_id,subject,true,verdict,correct,n_seq,purity,frac_alert_band,frac_drowsy_band,score_mean,score_sd,score_range
s01_state0,01,0,0,True,101,0.9703,0.9703,0.0,1.9169,0.4639,2.5899
s01_state10,01,10,0,False,111,0.5586,0.5586,0.1171,3.6139,1.8627,7.1864
s01_state5,01,5,0,False,100,0.93,0.93,0.0,2.1556,0.7057,4.2951
s06_state0,06,0,0,True,67,1.0,1.0,0.0,1.5572,0.4043,1.5852
s06_state10,06,10,0,False,45,1.0,1.0,0.0,1.0759,0.1207,0.5209
s06_state5,06,5,0,False,50,0.8,0.8,0.04,2.1911,1.9184,6.065
s13_state0,13,0,5,False,3,0.6667,0.3333,0.0,4.1003,0.9421,2.2159
s13_state10,13,10,10,True,107,0.9626,0.0,0.9626,8.3149,0.876,4.4234
s13_state5,13,5,10,False,53,1.0,0.0,1.0,8.6867,0.5631,2.2624
s14_state0,14,0,0,True,35,1.0,1.0,0.0,2.0788,0.3971,1.5034
s14_state10,14,10,10,True,118,1.0,0.0,1.0,8.871,0.3901,2.1231
s14_state5,14,5,10,False,181,1.0,0.0,1.0,9.2598,0.1952,1.2783
s34_state0,34,0,5,False,1,1.0,0.0,0.0,5.8431,0.0,0.0
s34_state10,34,10,10,True,105,0.7714,0.0,0.7714,7.632,1.2191,4.7
s34_state5,34,5,10,False,71,1.0,0.0,1.0,9.2359,0.3728,1.555
s37_state0,37,0,0,True,13,1.0,1.0,0.0,1.7036,0.403,1.1907
s37_state10,37,10,10,True,128,0.9609,0.0,0.9609,8.1397,0.7406,3.1521
s37_state5,37,5,5,True,53,0.5849,0.0377,0.3774,6.1757,1.2147,5.0627
s46_state0,46,0,0,True,7,1.0,1.0,0.0,2.0723,0.2598,0.7564
s46_state10,46,10,5,False,144,0.875,0.0,0.125,5.5493,0.8195,3.8856
s46_state5,46,5,10,False,52,1.0,0.0,1.0,8.6303,0.5829,2.0765
s47_state0,47,0,0,True,5,0.8,0.8,0.0,2.835,0.4656,1.2934
s47_state10,47,10,10,True,77,1.0,0.0,1.0,8.8456,0.6648,2.8442
s47_state5,47,5,5,True,27,0.963,0.0,0.037,5.0253,0.5097,2.4275
s49_state0,49,0,0,True,28,1.0,1.0,0.0,1.9792,0.4756,1.7042
s49_state10,49,10,10,True,48,1.0,0.0,1.0,8.7733,0.4554,1.6458
s49_state5,49,5,5,True,95,0.4947,0.3579,0.1474,4.4659,1.8378,6.3698
s51_state0,51,0,0,True,18,1.0,1.0,0.0,2.5623,0.5597,1.8217
s51_state10,51,10,5,False,103,0.7379,0.0291,0.233,5.5748,1.2361,5.7046
s51_state5,51,5,5,True,112,0.9464,0.0357,0.0179,5.0948,0.8345,4.3457
s55_state0,55,0,0,True,30,0.8,0.8,0.1,2.8902,1.6993,6.5362
s55_state5,55,5,5,True,148,0.8784,0.0,0.1216,5.7055,0.8948,4.2746
s58_state0,58,0,0,True,44,0.9545,0.9545,0.0,1.9978,0.5309,2.2494
s58_state10,58,10,10,True,125,0.976,0.0,0.976,8.4829,0.6838,2.8712
s58_state5,58,5,5,True,107,0.8037,0.028,0.1682,5.5884,1.2678,5.9954
